,s1_open,s2_open
771,4.443,7.311
772,4.507,7.232
773,4.443,7.252
774,4.387,7.35
775,4.424,7.34
776,4.461,7.467
777,4.424,7.35
778,4.544,7.291
779,4.526,7.321
780,4.443,7.154
781,4.443,7.516
782,4.387,7.183
783,4.424,7.164
784,4.434,7.105
785,4.516,7.135
786,4.434,7.125
787,4.452,6.909
788,4.461,6.909
789,4.424,6.753
790,4.609,6.733
791,4.461,6.655
792,4.516,6.635
793,4.48,6.714
794,4.498,6.802
795,4.627,6.557
796,4.544,6.655
797,4.544,6.821
798,4.424,6.909
799,4.36,6.851
800,4.295,6.87
801,4.231,6.949
802,4.231,6.978
803,4.212,6.792
804,4.111,6.694
805,4.139,6.684
806,4.148,6.459
807,4.148,6.459
808,4.129,6.635
809,4.148,6.538
810,4.148,6.616
811,4.129,6.538
812,4.01,6.567
813,3.991,6.557
814,4.037,6.528
815,3.899,6.518
816,3.899,6.547
817,3.963,6.665
818,3.908,6.802
819,3.954,6.704
820,3.973,6.812
821,3.927,6.802
822,4.166,6.724
823,3.963,6.694
824,3.88,6.841
825,4.01,6.772
826,4.046,7.105
827,4.056,7.144
828,4.046,7.144
829,4.019,7.144
830,4.046,7.174
831,4.046,7.164
832,4.046,7.321
833,4.092,7.428
834,4.074,7.291
835,4.083,7.418
836,4.046,7.614
837,4.065,8.084
838,4.046,8.152
839,4.056,8.015
840,4.056,7.976
841,4.074,7.966
842,4.074,7.869
843,4.065,7.937
844,4.065,8.015
845,4.074,7.751
846,4.148,7.81
847,4.157,8.094
848,4.166,7.859
849,4.157,7.78
850,4.139,7.663
851,4.166,7.859
852,4.139,7.722
853,4.157,8.006
854,4.139,8.28
855,4.148,8.192
856,4.194,8.26
857,4.166,8.309
858,4.148,8.368
859,4.212,8.299
860,4.323,8.162
861,4.194,8.113
862,4.304,8.329
863,4.387,8.514
864,4.36,8.417
865,4.424,8.466
866,4.443,8.632
867,4.36,8.671
868,4.36,8.661
869,4.341,8.612
870,4.332,8.28
871,4.424,7.878
872,4.424,8.025
873,4.415,7.976
874,4.507,7.947
875,4.507,8.006
876,4.563,8.015
877,4.516,8.084
878,4.516,8.103
879,4.434,7.947
880,4.295,7.937
881,4.36,8.103
882,4.341,8.309
883,4.351,7.741
884,4.351,7.898
885,4.351,7.662
886,4.406,7.613
887,4.397,7.604
888,4.378,7.594
889,4.387,7.623
890,4.416,7.682
891,4.454,7.623
892,4.416,7.545
893,4.378,7.476
894,4.349,7.653
895,4.368,7.604
896,4.368,7.535
897,4.349,7.662
898,4.378,7.623
899,4.359,7.564
900,4.349,7.496
901,4.368,7.29
902,4.368,7.173
903,4.368,7.182
904,4.378,7.398
905,4.387,7.359
906,4.397,7.564
907,4.359,7.604
908,4.34,7.633
909,4.311,7.613
910,4.273,7.643
911,4.216,7.76
912,4.235,7.839
913,4.264,7.751
914,4.264,7.809
915,4.321,7.623
916,4.397,7.682
917,4.444,7.702
918,4.454,7.81
919,4.454,7.987
920,4.492,8.154
921,4.444,8.095
922,4.454,8.124
923,4.397,8.056
924,4.311,7.957
925,4.359,7.702
926,4.425,7.712
927,4.406,7.663
928,4.444,7.761
929,4.464,7.908
930,4.435,7.957
931,4.378,8.36
932,4.416,8.498
933,4.387,8.35
934,4.292,8.203
935,4.264,8.341
936,4.311,8.419
937,4.33,8.655
938,4.33,8.665
939,4.33,8.547
940,4.368,8.252
941,4.349,8.233
942,4.292,8.144
943,4.273,8.321
944,4.264,8.92
945,4.226,8.881
946,4.207,8.861
947,4.264,8.763
948,4.245,8.773
949,4.188,8.871
950,4.188,8.655
951,4.178,8.459
952,4.207,8.635
953,4.235,8.341
954,4.188,8.282
955,4.188,8.321
956,4.168,8.262
957,4.026,8.37
958,4.045,8.37
